종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2870","55","1.95","139300162540"
"054620","APS","KOSDAQ","금융","7500","240","3.31","152956657500"
"265520","AP시스템","KOSDAQ","반도체","27850","4450","19.02","425587574850"
"211270","AP위성","KOSDAQ","통신장비","18050","1070","6.30","272235587200"
"109960","AP헬스케어","KOSDAQ","유통","670","-27","-3.87","76482024920"
"139050","BF랩스","KOSDAQ","컴퓨터서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3980","-10","-0.25","215052434500"
"013720","CBI","KOSDAQ","운송장비·부품","1471","-19","-1.28","63009090548"
"083790","CG인바이츠","KOSDAQ","기타서비스","3225","-20","-0.62","247983736950"
"035760","CJ ENM","KOSDAQ","방송서비스","73700","-2100","-2.77","1616178649800"
"311690","CJ 바이오사이언스","KOSDAQ","기타서비스","15180","230","1.54","138327780360"
"051500","CJ프레시웨이","KOSDAQ","유통","22850","-550","-2.35","271265740100"
"058820","CMG제약","KOSDAQ","제약","2160","-15","-0.69","300007247040"
"023460","CNH","KOSDAQ","금융","1798","13","0.73","66885600000"
"056730","CNT85","KOSDAQ","건설","1199","-8","-0.66","88859312014"
"065770","CS","KOSDAQ","통신장비","1266","29","2.34","24574490580"
"083660","CSA 코스믹","KOSDAQ","화학","1209","-3","-0.25","74047841829"
"456440","DB금융스팩11호","KOSDAQ","금융","2235","-5","-0.22","11879025000"
"060900","DGP","KOSDAQ","전기·가스·수도","1350","-26","-1.89","34098609150"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2965","-35","-1.17","46002384170"
"025440","DH오토웨어","KOSDAQ","일반전기전자","2480","0","0.00","76337435520"
"068790","DMS","KOSDAQ","기계·장비","6250","-20","-0.32","153581631250"
"241520","DSC인베스트먼트","KOSDAQ","금융","3915","-225","-5.43","107647329375"
"180400","DXVX","KOSDAQ","기타서비스","4280","-140","-3.17","129339168960"
"245620","EDGC","KOSDAQ","기타서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","9420","830","9.66","81247236240"
"050120","ES큐브","KOSDAQ","유통","2545","-85","-3.23","34520598870"
"214270","FSN","KOSDAQ","출판·매체복제","2220","0","0.00","73816027860"
"130500","GH신소재","KOSDAQ","섬유·의류","2800","55","2.00","40726145600"
"900290","GRT","KOSDAQ","금융","3305","-10","-0.30","222674375000"
"083450","GST","KOSDAQ","반도체","45550","-750","-1.62","424423284750"
"297890","HB솔루션","KOSDAQ","기계·장비","5260","30","0.57","384581312680"
"440290","HB인베스트먼트","KOSDAQ","금융","2730","-35","-1.27","73346937300"
"078150","HB테크놀러지","KOSDAQ","기계·장비","3780","90","2.44","350466162480"
"195940","HK이노엔","KOSDAQ","제약","35150","-300","-0.85","995795668650"
"028300","HLB","KOSDAQ","제약","93000","2500","2.76","12167223852000"
"278650","HLB바이오스텝","KOSDAQ","기타서비스","3815","60","1.60","326310996830"
"067630","HLB생명과학","KOSDAQ","제약","16280","180","1.12","1740256167760"
"024850","HLB이노베이션","KOSDAQ","반도체","4870","-70","-1.42","352481127850"
"047920","HLB제약","KOSDAQ","기타서비스","31600","1400","4.64","1003195751600"
"115450","HLB테라퓨틱스","KOSDAQ","유통","12110","-560","-4.42","912712801420"
"046210","HLB파나진","KOSDAQ","의료·정밀기기","4435","25","0.57","181899427245"
"403870","HPSP","KOSDAQ","반도체","42950","400","0.94","3562021484800"
"036640","HRS","KOSDAQ","화학","5540","-10","-0.18","90605592000"
"439730","IBKS제20호스팩","KOSDAQ","금융","2520","5","0.20","10861200000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2525","-25","-0.98","10630250000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2460","-10","-0.40","10897800000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2270","15","0.67","9602100000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2240","15","0.67","9475200000"
"095340","ISC","KOSDAQ","반도체","96700","400","0.42","2049755508600"
"099520","ITX-AI","KOSDAQ","통신장비","1284","0","0.00","58141862016"
"950170","JTC","KOSDAQ","유통","4920","175","3.69","247420025160"
"067290","JW신약","KOSDAQ","제약","1859","-13","-0.69","94514352218"
"035900","JYP Ent.","KOSDAQ","오락·문화","64900","-700","-1.07","2306058730800"
"318000","KBG","KOSDAQ","화학","7710","160","2.12","67387119330"
"024840","KBI메탈","KOSDAQ","금속","1641","101","6.56","55716106653"
"024120","KB오토시스","KOSDAQ","운송장비·부품","4755","0","0.00","54682500000"
"455250","KB제25호스팩","KOSDAQ","금융","2215","5","0.23","9535575000"
"458320","KB제26호스팩","KOSDAQ","금융","2375","-45","-1.86","13074375000"
"464680","KB제27호스팩","KOSDAQ","금융","2005","5","0.25","25874525000"
"021320","KCC건설","KOSDAQ","건설","4430","-50","-1.12","94802000000"
"036670","KCI","KOSDAQ","화학","7230","-150","-2.03","81482100000"
"044180","KD","KOSDAQ","건설","595","5","0.85","15897090405"
"151860","KG ETS","KOSDAQ","화학","8880","-230","-2.52","440474657760"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","4950","50","1.02","192186561600"
"035600","KG이니시스","KOSDAQ","소프트웨어","11160","30","0.27","311413483440"
"226360","KH 건설","KOSDAQ","건설","319","0","0.00","60627181021"
"111870","KH 전자","KOSDAQ","일반전기전자","2970","0","0.00","41572037430"
"060720","KH바텍","KOSDAQ","IT부품","14430","0","0.00","341665488060"
"058400","KNN","KOSDAQ","방송서비스","903","16","1.80","119584037160"
"122450","KX","KOSDAQ","방송서비스","4725","25","0.53","214212429900"
"052900","KX하이텍","KOSDAQ","반도체","1465","59","4.20","80732512405"
"376190","LB루셈","KOSDAQ","반도체","6910","90","1.32","169986000000"
"061970","LB세미콘","KOSDAQ","반도체","7500","-60","-0.79","328384440000"
"309960","LB인베스트먼트","KOSDAQ","금융","4215","150","3.69","97860662385"
"060370","LS마린솔루션","KOSDAQ","건설","10400","20","0.19","269757612800"
"417200","LS머트리얼즈","KOSDAQ","일반전기전자","24500","300","1.24","1657490145500"
"086960","MDS테크","KOSDAQ","소프트웨어","1660","-9","-0.54","145457768920"
"038340","MIT","KOSDAQ","일반전기전자","1283","0","0.00","33979354334"
"160550","NEW","KOSDAQ","오락·문화","3200","-110","-3.32","89299539200"
"053290","NE능률","KOSDAQ","출판·매체복제","4835","295","6.50","79904694345"
"060250","NHN KCP","KOSDAQ","소프트웨어","11470","170","1.50","460642208170"
"104200","NHN벅스","KOSDAQ","디지털컨텐츠","4455","-5","-0.11","66056735250"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","4405","-70","-1.56","44050000000"
"218410","RFHIC","KOSDAQ","일반전기전자","15560","-450","-2.81","412097917520"
"327260","RF머트리얼즈","KOSDAQ","기타제조","8940","-60","-0.67","75393085140"
"091340","S&K폴리텍","KOSDAQ","IT부품","2420","165","7.32","28323004820"
"419530","SAMG엔터","KOSDAQ","오락·문화","13620","200","1.49","117008466600"
"019550","SBI인베스트먼트","KOSDAQ","금융","802","-6","-0.74","129977393150"
"950110","SBI핀테크솔루션즈","KOSDAQ","출판·매체복제","3670","-45","-1.21","88272821800"
"151910","SBW생명과학","KOSDAQ","IT부품","640","0","0.00","121645902080"
"036120","SCI평가정보","KOSDAQ","기타서비스","2860","0","0.00","101530000000"
"099220","SDN","KOSDAQ","유통","1510","-49","-3.14","84819434610"
"036540","SFA반도체","KOSDAQ","반도체","5910","-140","-2.31","971960390730"
"255220","SG","KOSDAQ","비금속","1501","-39","-2.53","89458691895"
"040610","SG&G","KOSDAQ","운송","1596","2","0.13","54403164816"
"049470","SGA","KOSDAQ","소프트웨어","435","25","6.10","25605078315"
"184230","SGA솔루션즈","KOSDAQ","소프트웨어","709","16","2.31","42470169881"
"016250","SGC이테크건설","KOSDAQ","건설","15240","-110","-0.72","49432235400"
"048550","SM C&C","KOSDAQ","방송서비스","1706","-49","-2.79","164981493720"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1645","2","0.12","75717958330"
"289080","SV인베스트먼트","KOSDAQ","금융","2010","67","3.45","107000340000"
"089230","THE E&M","KOSDAQ","인터넷","2125","0","0.00","42554965250"
"161570","THE MIDONG","KOSDAQ","정보기기","366","0","0.00","7721265564"
"032540","TJ미디어","KOSDAQ","일반전기전자","5840","160","2.82","81360596560"
"022220","TKG애강","KOSDAQ","화학","1139","-17","-1.47","58994025481"
"048770","TPC","KOSDAQ","기계·장비","3460","-30","-0.86","54315048860"
"246690","TS인베스트먼트","KOSDAQ","금융","1294","2","0.15","53672353428"
"317240","TS트릴리온","KOSDAQ","화학","356","0","0.00","34390534500"
"057030","YBM넷","KOSDAQ","기타서비스","4120","90","2.23","67208311640"
"040300","YTN","KOSDAQ","방송서비스","3960","-100","-2.46","166320000000"
"051390","YW","KOSDAQ","유통","3580","0","0.00","40652217440"
"052220","iMBC","KOSDAQ","디지털컨텐츠","3085","20","0.65","70955000000"
"079940","가비아","KOSDAQ","인터넷","19530","570","3.01","264351908520"
"078890","가온그룹","KOSDAQ","통신장비","5940","260","4.58","101533340700"
"399720","가온칩스","KOSDAQ","반도체","110200","5300","5.05","1266012864000"
"036620","감성코퍼레이션","KOSDAQ","유통","3380","-90","-2.59","306527386880"
"217730","강스템바이오텍","KOSDAQ","제약","2565","-45","-1.72","143480777625"
"114190","강원에너지","KOSDAQ","금속","17200","-900","-4.97","449316253600"
"094480","갤럭시아머니트리","KOSDAQ","소프트웨어","7450","150","2.05","292262293100"
"039240","경남스틸","KOSDAQ","금속","3325","165","5.22","89707183300"
"053950","경남제약","KOSDAQ","제약","1227","8","0.66","43673104254"
"011040","경동제약","KOSDAQ","제약","6290","-10","-0.16","193535538140"
"024910","경창산업","KOSDAQ","운송장비·부품","2435","100","4.28","87219277175"
"198440","고려시멘트","KOSDAQ","비금속","1785","20","1.13","57084228600"
"049720","고려신용정보","KOSDAQ","기타서비스","11060","-50","-0.45","158158000000"
"014570","고려제약","KOSDAQ","제약","6700","200","3.08","73700000000"
"348150","고바이오랩","KOSDAQ","기타서비스","7450","0","0.00","140597949600"
"950190","고스트스튜디오","KOSDAQ","출판·매체복제","10750","-10","-0.09","145983839000"
"098460","고영","KOSDAQ","기계·장비","18170","800","4.61","1247456898350"
"035290","골드앤에스","KOSDAQ","출판·매체복제","596","-17","-2.77","27684536144"
"900280","골든센츄리","KOSDAQ","금융","104","1","0.97","21362045952"
"215000","골프존","KOSDAQ","소프트웨어","81700","-300","-0.37","512701405500"
"121440","골프존뉴딘홀딩스","KOSDAQ","유통","3790","45","1.20","162351540220"
"366030","공구우먼","KOSDAQ","섬유·의류","5300","0","0.00","119877255000"
"014200","광림","KOSDAQ","운송장비·부품","1006","0","0.00","91250936176"
"029480","광무","KOSDAQ","통신장비","3460","-75","-2.12","165758922380"
"026910","광진실업","KOSDAQ","금속","3345","65","1.98","21426079725"
"421800","교보12호스팩","KOSDAQ","금융","2665","0","0.00","15936700000"
"440790","교보13호스팩","KOSDAQ","금융","2315","-10","-0.43","9375750000"
"456490","교보14호스팩","KOSDAQ","금융","2250","0","0.00","9450000000"
"465320","교보15호스팩","KOSDAQ","금융","2200","5","0.23","8382000000"
"053270","구영테크","KOSDAQ","운송장비·부품","2805","60","2.19","76886186025"
"066620","국보디자인","KOSDAQ","건설","14510","-90","-0.62","108825000000"
"043650","국순당","KOSDAQ","음식료·담배","5440","40","0.74","97149173760"
"006050","국영지앤엠","KOSDAQ","비금속","1145","2","0.17","39955053235"
"060480","국일신동","KOSDAQ","금속","2435","65","2.74","27004150000"
"078130","국일제지","KOSDAQ","종이·목재","800","0","0.00","901924696800"
"307750","국전약품","KOSDAQ","제약","5860","70","1.21","287545916340"
"035080","그래디언트","KOSDAQ","유통","15960","-190","-1.18","231860240640"
"204020","그리티","KOSDAQ","섬유·의류","2880","0","0.00","58024598400"
"402490","그린리소스","KOSDAQ","일반전기전자","26550","950","3.71","219460813200"
"114450","그린생명과학","KOSDAQ","제약","1945","-44","-2.21","38900000000"
"186230","그린플러스","KOSDAQ","금속","10980","300","2.81","118805664240"
"900070","글로벌에스엠","KOSDAQ","금융","449","-1","-0.22","24131041632"
"204620","글로벌텍스프리","KOSDAQ","금융","6870","230","3.46","390132515760"
"019660","글로본","KOSDAQ","유통","810","-24","-2.88","28180504260"
"053260","금강철강","KOSDAQ","금속","5000","-10","-0.20","93600000000"
"282720","금양그린파워","KOSDAQ","건설","14000","-410","-2.85","169673000000"
"036190","금화피에스시","KOSDAQ","건설","27300","200","0.74","163800000000"
"049080","기가레인","KOSDAQ","반도체","792","-34","-4.12","67227610824"
"420770","기가비스","KOSDAQ","반도체","77700","-800","-1.02","984906396600"
"035460","기산텔레콤","KOSDAQ","통신장비","2385","20","0.85","34766955900"
"308100","까스텔바작","KOSDAQ","유통","4255","-15","-0.35","28188238915"
"407400","꿈비","KOSDAQ","기타제조","8210","-140","-1.68","100650281540"
"187790","나노","KOSDAQ","화학","1025","0","0.00","31611850750"
"286750","나노브릭","KOSDAQ","화학","2020","20","1.00","41803009180"
"121600","나노신소재","KOSDAQ","화학","114400","-4400","-3.70","1391090043200"
"247660","나노씨엠에스","KOSDAQ","일반전기전자","10180","370","3.77","44221105600"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","3350","-45","-1.33","89805550450"
"091970","나노캠텍","KOSDAQ","화학","614","-44","-6.69","22974340702"
"417010","나노팀","KOSDAQ","기계·장비","12750","-160","-1.24","251485182000"
"405920","나라셀라","KOSDAQ","유통","4720","-100","-2.07","60784518720"
"051490","나라엠앤디","KOSDAQ","기계·장비","5070","40","0.80","71994000000"
"137080","나래나노텍","KOSDAQ","기계·장비","7140","-110","-1.52","78964273080"
"190510","나무가","KOSDAQ","IT부품","14400","170","1.19","234120729600"
"242040","나무기술","KOSDAQ","출판·매체복제","2270","45","2.02","78556219280"
"089600","나스미디어","KOSDAQ","기타서비스","23550","-150","-0.63","272430238650"
"293580","나우IB","KOSDAQ","금융","1000","10","1.01","95770000000"
"138610","나이벡","KOSDAQ","제약","18350","560","3.15","187734134050"
"130580","나이스디앤비","KOSDAQ","기타서비스","5930","-30","-0.50","91322000000"
"036800","나이스정보통신","KOSDAQ","통신서비스","21350","-550","-2.51","213500000000"
"267320","나인테크","KOSDAQ","IT부품","3050","0","0.00","133175517200"
"111710","남화산업","KOSDAQ","오락·문화","5450","-70","-1.27","112204600000"
"091590","남화토건","KOSDAQ","건설","4830","-90","-1.83","56704200000"
"168330","내츄럴엔도텍","KOSDAQ","기타서비스","2595","145","5.92","82403965500"
"094860","네오리진","KOSDAQ","소프트웨어","1766","-44","-2.43","37791638854"
"253590","네오셈","KOSDAQ","반도체","12220","560","4.80","535047347640"
"212560","네오오토","KOSDAQ","운송장비·부품","10010","-170","-1.67","78828379630"
"095660","네오위즈","KOSDAQ","디지털컨텐츠","20000","-450","-2.20","440674380000"
"042420","네오위즈홀딩스","KOSDAQ","디지털컨텐츠","20100","-700","-3.37","178023006600"
"950220","네오이뮨텍","KOSDAQ","기타서비스","1505","-53","-3.40","148795534825"
"311390","네오크레마","KOSDAQ","음식료·담배","6500","-20","-0.31","71364455500"
"085910","네오티스","KOSDAQ","운송장비·부품","3240","-10","-0.31","45148810320"
"092730","네오팜","KOSDAQ","화학","23500","350","1.51","192872983500"
"290660","네오펙트","KOSDAQ","의료·정밀기기","1218","-8","-0.65","47074430844"
"306620","네온테크","KOSDAQ","기계·장비","2800","40","1.45","116798099600"
"153460","네이블","KOSDAQ","소프트웨어","7040","-30","-0.42","45971298560"
"007390","네이처셀","KOSDAQ","제약","8860","210","2.43","568432402160"
"033640","네패스","KOSDAQ","반도체","16890","-340","-1.97","389469921780"
"330860","네패스아크","KOSDAQ","반도체","31300","-100","-0.32","381360608500"
"089140","넥스턴바이오","KOSDAQ","기계·장비","3775","-5","-0.13","39100932825"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","380","-17","-4.28","29761976960"
"396270","넥스트칩","KOSDAQ","반도체","10880","-270","-2.42","196390963200"
"348210","넥스틴","KOSDAQ","반도체","62600","-2500","-3.84","643423583200"
"225570","넥슨게임즈","KOSDAQ","디지털컨텐츠","13010","-240","-1.81","856107047700"
"217270","넵튠","KOSDAQ","출판·매체복제","6080","40","0.66","283219472000"
"104620","노랑풍선","KOSDAQ","기타서비스","6920","-80","-1.14","109627511920"
"194700","노바렉스","KOSDAQ","음식료·담배","9540","0","0.00","178921249920"
"285490","노바텍","KOSDAQ","기타제조","18550","-190","-1.01","196181665050"
"106520","노블엠앤비","KOSDAQ","의료·정밀기기","411","0","0.00","15904036272"
"376930","노을","KOSDAQ","의료·정밀기기","2350","30","1.29","86825591000"
"142280","녹십자엠에스","KOSDAQ","제약","4060","55","1.37","85813016660"
"234690","녹십자웰빙","KOSDAQ","제약","10310","1020","10.98","183025965560"
"065560","녹원씨엔아이","KOSDAQ","출판·매체복제","11540","0","0.00","189726555040"
"054050","농우바이오","KOSDAQ","농업, 임업 및 어업","7980","-10","-0.13","127923876780"
"069140","누리플랜","KOSDAQ","금속","1446","-20","-1.36","18946566378"
"040160","누리플렉스","KOSDAQ","소프트웨어","3510","45","1.30","42314927850"
"332290","누보","KOSDAQ","화학","1620","12","0.75","54083380860"
"348340","뉴로메카","KOSDAQ","기계·장비","33700","550","1.66","354917279000"
"060260","뉴보텍","KOSDAQ","화학","594","-6","-1.00","24686666730"
"123840","뉴온","KOSDAQ","기계·장비","371","-9","-2.37","103783912484"
"012340","뉴인텍","KOSDAQ","운송장비·부품","797","5","0.63","40573008114"
"214870","뉴지랩파마","KOSDAQ","유통","1383","0","0.00","64719014598"
"270870","뉴트리","KOSDAQ","음식료·담배","8600","-370","-4.12","79121926400"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","5800","50","0.87","253417219200"
"085670","뉴프렉스","KOSDAQ","IT부품","7310","110","1.53","178735062910"
"064260","다날","KOSDAQ","디지털컨텐츠","4150","15","0.36","286138516000"
"340360","다보링크","KOSDAQ","통신장비","2360","-40","-1.67","102396180320"
"039560","다산네트웍스","KOSDAQ","통신장비","3675","-5","-0.14","145184480175"
"154040","다산솔루에타","KOSDAQ","IT부품","1560","-7","-0.45","28002146640"
"032190","다우데이타","KOSDAQ","유통","11630","-50","-0.43","445429000000"
"068240","다원시스","KOSDAQ","IT부품","12820","-340","-2.58","439257262340"
"020400","대동금속","KOSDAQ","금속","8460","-20","-0.24","26980344360"
"008830","대동기어","KOSDAQ","기계·장비","10930","-120","-1.09","98233593600"
"048470","대동스틸","KOSDAQ","금속","3760","10","0.27","37600000000"
"004780","대륙제관","KOSDAQ","금속","4125","40","0.98","65600695875"
"017650","대림제지","KOSDAQ","종이·목재","8270","-100","-1.19","74430000000"
"007720","대명소노시즌","KOSDAQ","유통","522","-7","-1.32","52617834900"
"389260","대명에너지","KOSDAQ","건설","15320","-320","-2.05","261206000000"
"317850","대모","KOSDAQ","기계·장비","8930","-10","-0.11","74337070600"
"290670","대보마그네틱","KOSDAQ","기계·장비","26550","-50","-0.19","208620873000"
"078140","대봉엘에스","KOSDAQ","제약","10080","220","2.23","111752716320"
"065150","대산F&B","KOSDAQ","유통","145","0","0.00","18165948725"
"036480","대성미생물","KOSDAQ","제약","10500","-110","-1.04","39900000000"
"027830","대성창투","KOSDAQ","금융","1938","-13","-0.67","104652000000"
"104040","대성파인텍","KOSDAQ","운송장비·부품","966","10","1.05","30237037446"
"129920","대성하이텍","KOSDAQ","기계·장비","5200","-10","-0.19","71318275600"
"438220","대신밸런스제13호스팩","KOSDAQ","금융","2275","0","0.00","12831000000"
"442310","대신밸런스제14호스팩","KOSDAQ","금융","2370","35","1.50","15902700000"
"457390","대신밸런스제15호스팩","KOSDAQ","금융","2245","10","0.45","15793575000"
"457630","대신밸런스제16호스팩","KOSDAQ","금융","2620","0","0.00","19152200000"
"471050","대신밸런스제17호스팩","KOSDAQ","금융","2310","-45","-1.91","13998600000"
"020180","대신정보통신","KOSDAQ","컴퓨터서비스","1140","12","1.06","43808963100"
"045390","대아티아이","KOSDAQ","일반전기전자","3080","5","0.16","217058001160"
"108380","대양전기공업","KOSDAQ","운송장비·부품","12990","100","0.78","124279655670"
"006580","대양제지","KOSDAQ","종이·목재","11000","-380","-3.34","295350000000"
"007680","대원","KOSDAQ","건설","4415","-40","-0.90","59366182710"
"048910","대원미디어","KOSDAQ","유통","10170","-90","-0.88","127927880820"
"005710","대원산업","KOSDAQ","운송장비·부품","6370","-80","-1.24","127639512000"
"290380","대유","KOSDAQ","화학","2300","0","0.00","56841307600"
"120240","대정화금","KOSDAQ","화학","16650","160","0.97","119720010150"
"003310","대주산업","KOSDAQ","음식료·담배","1690","0","0.00","59813071500"
"078600","대주전자재료","KOSDAQ","IT부품","85900","-800","-0.92","1329782938700"
"096350","대창솔루션","KOSDAQ","금속","457","2","0.44","74838781113"
"140520","대창스틸","KOSDAQ","금속","2480","50","2.06","52350922640"
"131220","대한과학","KOSDAQ","유통","5930","-90","-1.50","44205125700"
"010170","대한광통신","KOSDAQ","일반전기전자","1211","-1","-0.08","90233022026"
"054670","대한뉴팜","KOSDAQ","제약","8050","-20","-0.25","115557106000"
"023910","대한약품","KOSDAQ","제약","27900","-50","-0.18","167400000000"
"021040","대호특수강","KOSDAQ","금속","4150","15","0.36","45037406050"
"021045","대호특수강우","KOSDAQ","금속","7950","0","0.00","3372755700"
"067080","대화제약","KOSDAQ","제약","9840","110","1.13","183187836000"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","14510","-230","-1.56","214038112760"
"032860","더라미","KOSDAQ","기타서비스","3640","0","0.00","147040941320"
"393890","더블유씨피","KOSDAQ","일반전기전자","32550","-1750","-5.10","1096821660900"
"299170","더블유에스아이","KOSDAQ","유통","1916","-3","-0.16","57533577108"
"224060","더코디","KOSDAQ","반도체","5520","-110","-1.95","26211156960"
"043090","더테크놀로지","KOSDAQ","유통","488","-5","-1.01","33993895048"
"213420","덕산네오룩스","KOSDAQ","반도체","39050","150","0.39","969657539950"
"317330","덕산테코피아","KOSDAQ","반도체","40100","-600","-1.47","780348646600"
"077360","덕산하이메탈","KOSDAQ","일반전기전자","6750","-30","-0.44","306699763500"
"090410","덕신하우징","KOSDAQ","금속","1788","28","1.59","82398361860"
"263600","덕우전자","KOSDAQ","일반전기전자","8430","-320","-3.66","134292513300"
"194480","데브시스터즈","KOSDAQ","디지털컨텐츠","47500","1450","3.15","569923050000"
"263800","데이타솔루션","KOSDAQ","정보기기","7290","550","8.16","118217410200"
"206560","덱스터","KOSDAQ","오락·문화","7680","-240","-3.03","195162132480"
"261200","덴티스","KOSDAQ","의료·정밀기기","8980","50","0.56","141971106000"
"067990","도이치모터스","KOSDAQ","유통","5200","-150","-2.80","162144060000"
"006620","동구바이오제약","KOSDAQ","제약","6250","50","0.81","177906200000"
